"dogid","name","ownerid","kennelname","breedname","mothername","fathername"
8,"Kid",6665,"Island kennel club","Pug","Kay","Duffy"
2,"Opal",4563,"Canine kennel club","Pug","Alex","Simon"
14,"Kaylee",8009,"Island kennel club","Poodle","Sand","Elmo"
25,"Snake",6665,"Canine kennel club","Corgi","Sage","Fancy"
29,"Tilly",9445,"Novar kennel club","Irish Setter","Sake","Paco"
34,"Paco",3076,"Canine kennel club","Irish Setter","Bobbelina","Tango"
48,"Face",43,"Island kennel club","Daschund","Tara","Otto"
59,"Nacho",43,"Canine kennel club","Daschund","Lupin","Leila"
80,"McDuff",3076,"Canine kennel club","Daschund","Roger","Lali"
232,"Lucas",43,"Island kennel club","Pug","Flower","Simon"
51,"Kiwi",4563,"Novar kennel club","Daschund","","Woronga"
237,"Blossom",7134,"Canine kennel club","Corgi","Hamlet",""
