LETTER ANALYSES

Letter  Freq  Freq%  AvgFreq%    diff
   A     1     1.3      8.2      -6.9
   B     7     9.3      1.5       7.8
   C     1     1.3      2.8      -1.5
   D     0     0.0      4.3      -4.3
   E     4     5.3     12.7      -7.4
   F     5     6.7      2.2       4.5
   G     1     1.3      2.0      -0.7
   H     4     5.3      6.1      -0.8
   I    10    13.3      7.0       6.3
   J     4     5.3      0.2       5.1
   K     7     9.3      0.8       8.5
   L     3     4.0      4.0       0.0
   M     4     5.3      2.4       2.9
   N     1     1.3      6.7      -5.4
   O     3     4.0      7.5      -3.5
   P     0     0.0      1.9      -1.9
   Q     0     0.0      0.1      -0.1
   R     2     2.7      6.0      -3.3
   S     6     8.0      6.3       1.7
   T     7     9.3      9.1       0.2
   U     0     0.0      2.8      -2.8
   V     1     1.3      1.0       0.3
   W     2     2.7      2.4       0.3
   X     1     1.3      0.2       1.1
   Y     1     1.3      2.0      -0.7
   Z     0     0.0      0.1      -0.1

The most frequent letter is I at 13.3%
