LETTER ANALYSIS 
 
Letter  Freq  Freq%  AvgFreq%   Diff  
   A    5     0.07     8.20    -8.13
   B    3     0.04     1.50    -1.46
   C    1     0.01     2.80    -2.79
   D    4     0.05     4.30    -4.25
   E   10     0.13    12.70   -12.57
   F    1     0.01     2.20    -2.19
   G    1     0.01     2.00    -1.99
   H    3     0.04     6.10    -6.06
   I    7     0.09     7.00    -6.91
   J    1     0.01     0.20    -0.19
   K    0     0.00     0.80    -0.80
   L    4     0.05     4.00    -3.95
   M    4     0.05     2.40    -2.35
   N    4     0.05     6.70    -6.65
   O    7     0.09     7.50    -7.41
   P    0     0.00     1.90    -1.90
   Q    0     0.00     0.10    -0.10
   R    2     0.03     6.00    -5.97
   S    6     0.08     6.30    -6.22
   T    7     0.09     9.10    -9.01
   U    0     0.00     2.80    -2.80
   V    1     0.01     1.00    -0.99
   W    2     0.03     2.40    -2.37
   X    1     0.01     0.20    -0.19
   Y    1     0.01     2.00    -1.99
   Z    0     0.00     0.10    -0.10

The most frequent letter is E at 0.13%
