LETTER ANALYSIS 
 
Letter  Freq  Freq%  AvgFreq%   Diff  
   A    5     6.7      8.2     -1.5
   B    3     4.0      1.5      2.5
   C    1     1.3      2.8     -1.5
   D    4     5.3      4.3      1.0
   E   10    13.3     12.7      0.6
   F    1     1.3      2.2     -0.9
   G    1     1.3      2.0     -0.7
   H    3     4.0      6.1     -2.1
   I    7     9.3      7.0      2.3
   J    1     1.3      0.2      1.1
   K    0     0.0      0.8     -0.8
   L    4     5.3      4.0      1.3
   M    4     5.3      2.4      2.9
   N    4     5.3      6.7     -1.4
   O    7     9.3      7.5      1.8
   P    0     0.0      1.9     -1.9
   Q    0     0.0      0.1     -0.1
   R    2     2.7      6.0     -3.3
   S    6     8.0      6.3      1.7
   T    7     9.3      9.1      0.2
   U    0     0.0      2.8     -2.8
   V    1     1.3      1.0      0.3
   W    2     2.7      2.4      0.3
   X    1     1.3      0.2      1.1
   Y    1     1.3      2.0     -0.7
   Z    0     0.0      0.1     -0.1

The most frequent letter is E at 13.3%
