LETTER ANALYSIS 
 
Letter  Freq  Freq%  AvgFreq%   Diff  
   A    2     0.03     8.20    -8.17
   B    8     0.11     1.50    -1.39
   C    2     0.03     2.80    -2.77
   D    2     0.03     4.30    -4.27
   E    6     0.08    12.70   -12.62
   F    4     0.05     2.20    -2.15
   G    1     0.01     2.00    -1.99
   H    4     0.05     6.10    -6.05
   I    2     0.03     7.00    -6.97
   J    1     0.01     0.20    -0.19
   K    2     0.03     0.80    -0.77
   L    4     0.05     4.00    -3.95
   M    4     0.05     2.40    -2.35
   N    3     0.04     6.70    -6.66
   O    4     0.05     7.50    -7.45
   P    5     0.07     1.90    -1.83
   Q    0     0.00     0.10    -0.10
   R    0     0.00     6.00    -6.00
   S    1     0.01     6.30    -6.29
   T    8     0.11     9.10    -8.99
   U    2     0.03     2.80    -2.77
   V    1     0.01     1.00    -0.99
   W    2     0.03     2.40    -2.37
   X    5     0.07     0.20    -0.13
   Y    2     0.03     2.00    -1.97
   Z    0     0.00     0.10    -0.10

The most frequent letter is T at 0.11%
