LETTER ANALYSIS 
 
Letter  Freq  Freq%  AvgFreq%   Diff  
   A    0     0.00     8.20    -8.20
   B    1     0.14     1.50    -1.36
   C    0     0.00     2.80    -2.80
   D    1     0.14     4.30    -4.16
   E    1     0.14    12.70   -12.56
   F    0     0.00     2.20    -2.20
   G    1     0.14     2.00    -1.86
   H    0     0.00     6.10    -6.10
   I    0     0.00     7.00    -7.00
   J    0     0.00     0.20    -0.20
   K    0     0.00     0.80    -0.80
   L    0     0.00     4.00    -4.00
   M    0     0.00     2.40    -2.40
   N    0     0.00     6.70    -6.70
   O    2     0.29     7.50    -7.21
   P    0     0.00     1.90    -1.90
   Q    0     0.00     0.10    -0.10
   R    0     0.00     6.00    -6.00
   S    0     0.00     6.30    -6.30
   T    0     0.00     9.10    -9.10
   U    0     0.00     2.80    -2.80
   V    0     0.00     1.00    -1.00
   W    0     0.00     2.40    -2.40
   X    0     0.00     0.20    -0.20
   Y    1     0.14     2.00    -1.86
   Z    0     0.00     0.10    -0.10

The most frequent letter is O at 0.29%
